url,postid,min_date
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flkbcj,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1flkbcj,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1flkbcj,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1flkbcj,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1flkbcj,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
from tag,1flbjcy,01/01/2000
from tag,1fljfjq,01/01/2000
from tag,1flcxgc,01/01/2000
from tag,1fleoyl,01/01/2000
